Student ID (last 4 digits), Date, Sign-In Time, Sign-Out Time, Hours Logged
9302,2019-01-19,09:58:42.922956,16:54:53.745899,6.9363
1018,2019-01-19,10:00:02.821313,16:16:52.866792,6.2806
3524,2019-01-19,10:02:09.936638,15:28:09.564846,5.4332
5086,2019-01-19,10:03:57.244430,15:20:14.433059,5.2714
7780,2019-01-19,10:04:11.836609,14:59:25.732645,4.9205
7453,2019-01-19,10:05:15.902194,14:59:28.128595,4.9034
3276,2019-01-19,10:05:52.768504,17:34:22.303585,7.4749
0644,2019-01-19,10:06:02.738279,16:54:13.009779,6.8029
2169,2019-01-19,10:06:05.162256,17:28:18.896016,7.3705
6232,2019-01-19,10:06:32.348457,16:15:25.065085,6.148
0420,2019-01-19,10:06:44.958090,15:19:51.109212,5.2184
3624,2019-01-19,10:09:13.897882,16:48:19.454961,6.6515
6502,2019-01-19,10:11:52.861511,16:25:36.065258,6.2287
6287,2019-01-19,10:13:51.339288,16:11:47.183202,5.9655
2395,2019-01-19,10:16:07.785015,16:12:00.443248,5.9313
5051,2019-01-19,10:16:41.464975,16:10:29.037397,5.8965
7409,2019-01-19,10:16:45.598925,13:13:53.857815,2.9523
2297,2019-01-19,10:17:10.616871,16:33:41.345449,6.2752
1281,2019-01-19,10:20:44.514467,17:27:47.181758,7.1174
6099,2019-01-19,10:25:50.491882,17:27:49.721757,7.0331
9645,2019-01-19,10:26:04.181856,16:53:59.207824,6.4653
7001,2019-01-19,10:26:17.237857,15:35:49.278733,5.1589
8518,2019-01-19,10:29:44.057433,14:31:11.101826,4.0242
9949,2019-01-19,10:31:39.219240,15:26:03.834973,4.9068
4201,2019-01-19,10:39:18.186379,12:54:28.355627,2.2528
0644,2019-01-19,11:11:33.083037,17:28:02.483638,6.2748
8144,2019-01-19,11:18:29.309651,16:54:51.883697,5.6063
1926,2019-01-19,11:19:13.513464,12:47:36.904312,1.4732
9528,2019-01-19,11:22:22.903006,15:19:33.367056,3.9529
7938,2019-01-19,11:24:17.438870,15:19:07.775071,3.914
0115,2019-01-19,11:42:21.012547,16:46:16.628986,5.0654
7624,2019-01-19,12:06:09.549207,16:46:45.840893,4.6767
6969,2019-01-19,12:20:38.909594,12:44:39.324701,0.4001
1565,2019-01-19,12:34:04.781908,16:15:09.734923,3.6847
6969,2019-01-19,12:44:46.374635,16:48:12.102691,4.0571
1926,2019-01-19,12:47:39.366306,14:45:21.650234,1.9617
4201,2019-01-19,12:54:30.481451,17:32:41.255454,4.6363
0246,2019-01-19,13:16:52.557476,17:28:37.367636,4.1958
0873,2019-01-19,13:38:05.294525,16:44:16.881297,3.1032
1926,2019-01-19,14:45:23.246177,15:48:48.005328,1.0569
0898,2019-01-19,16:40:17.159924,,0
6969,2019-01-19,16:48:14.292726,17:34:13.985647,0.7666
2169,2019-01-20,10:01:43.138025,17:01:51.327743,7.0023
1246,2019-01-20,10:07:21.897515,13:21:37.884941,3.2378
3276,2019-01-20,10:07:26.145465,17:08:58.475577,7.0256
6969,2019-01-20,10:07:30.021504,,0
1018,2019-01-20,10:07:53.355439,16:24:18.435108,6.2736
5051,2019-01-20,10:11:35.381121,17:07:15.183645,6.9277
7409,2019-01-20,10:11:47.713092,17:07:00.769608,6.9203
6163,2019-01-20,10:16:30.976667,15:01:15.069918,4.7456
0246,2019-01-20,10:19:02.494441,17:09:55.021841,6.8479
1312,2019-01-20,10:19:32.200395,17:09:10.383527,6.8273
9949,2019-01-20,10:21:15.084257,17:09:47.705408,6.8091
4201,2019-01-20,10:24:44.121903,17:09:45.997497,6.7505
1281,2019-01-20,10:30:44.795342,16:55:13.787441,6.4081
2220,2019-01-20,10:32:28.783223,10:32:41.295506,0.0035
2220,2019-01-20,10:32:42.773326,16:14:16.165230,5.6926
7001,2019-01-20,10:38:16.160747,14:10:14.372901,3.5328
2395,2019-01-20,11:03:55.867207,16:12:56.401341,5.1501
0115,2019-01-20,11:10:46.256821,16:01:02.064285,4.8377
0644,2019-01-20,11:20:05.875366,17:09:50.029399,5.8289
0873,2019-01-20,11:46:35.712691,16:30:06.408756,4.7252
0898,2019-01-20,11:51:57.253705,15:19:50.075013,3.4647
9744,2019-01-20,13:27:52.600319,13:27:55.754431,0.0009
9744,2019-01-20,13:27:59.926335,,0
9528,2019-01-20,13:36:52.242674,17:08:45.003586,3.5313
6099,2019-01-20,13:37:42.258591,17:08:26.951544,3.5124
8144,2019-01-20,14:50:06.288659,16:42:23.427851,1.8714
8865,2019-01-20,21:56:08.443587,,0
5398,2019-01-21,04:09:37.696646,,0
5388,2019-01-21,04:48:58.807423,,0
7398,2019-01-21,05:01:24.398585,,0
3589,2019-01-21,06:14:42.393110,,0
4089,2019-01-21,06:24:29.923752,,0
9528,2019-01-21,08:28:30.760795,13:51:06.298935,5.3765
2169,2019-01-21,08:30:20.420595,16:32:45.887041,8.0404
4043,2019-01-21,08:35:50.162025,,0
3276,2019-01-21,08:36:12.590173,18:25:40.545020,9.8244
6969,2019-01-21,08:36:19.292019,,0
4201,2019-01-21,08:45:08.317147,11:48:26.060319,3.0549
5086,2019-01-21,08:49:36.532842,13:42:05.028508,4.8746
0246,2019-01-21,09:04:15.228541,12:10:58.657453,3.1121
1312,2019-01-21,09:51:58.276837,18:04:39.114201,8.2113
6099,2019-01-21,10:04:00.303338,13:29:10.093183,3.4194
1246,2019-01-21,10:08:59.138471,13:12:39.059479,3.0611
9645,2019-01-21,10:10:52.932166,13:20:43.286346,3.164
6163,2019-01-21,10:13:18.307788,15:09:33.664208,4.9376
1281,2019-01-21,10:14:48.637540,13:40:35.600745,3.4297
5051,2019-01-21,10:20:09.954784,16:46:18.431325,6.4357
9949,2019-01-21,10:25:19.188017,14:16:54.424728,3.8598
0115,2019-01-21,10:37:53.218083,13:29:45.940878,2.8646
2395,2019-01-21,11:13:20.850444,14:10:47.805734,2.9575
7001,2019-01-21,11:14:07.406268,13:57:51.641837,2.729
1926,2019-01-21,11:22:45.710515,13:26:43.901468,2.0662
0898,2019-01-21,11:29:05.875279,16:20:42.951026,4.8603
0644,2019-01-21,11:34:53.672277,14:48:18.878344,3.2237
4201,2019-01-21,13:07:05.082486,18:05:40.565948,4.9765
5917,2019-01-21,13:27:47.139348,15:51:31.721973,2.3957
5897,2019-01-21,14:33:04.668733,15:47:11.046653,1.2351
6099,2019-01-21,15:00:01.795194,18:27:17.542843,3.4544
2097,2019-01-22,14:50:57.599616,15:58:10.132592,1.1201
1844,2019-01-22,14:51:07.885714,17:19:03.378301,2.4654
5086,2019-01-22,15:01:56.255910,17:05:07.182305,2.053
6143,2019-01-22,15:01:57.584014,15:08:28.820606,0.1087
5897,2019-01-22,15:02:09.042059,16:04:45.212767,1.0434
3276,2019-01-22,15:02:09.948058,17:31:13.812089,2.4844
2169,2019-01-22,15:02:15.158231,17:44:47.819569,2.7091
2395,2019-01-22,15:02:16.809963,16:04:11.426566,1.0318
